facility_name,status,open,hours_of_operation,accessibility,restroom_type,changing_stations,additional_notes,website,latitude,longitude,location_1
"Rochdale Village Library, QPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",NA,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/rochdale-village,40.672884,-73.770592,POINT (-73.770592 40.672884)
"High Bridge Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/high-bridge,40.837968,-73.923552,POINT (-73.923552 40.837968)
Abigail Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.817324,-73.904836,POINT (-73.904836 40.817324)
Playground One Fifty Two CLII,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,NA,,,40.827946,-73.939952,POINT (-73.939952 40.827946)
Park Of The Americas,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.748954,-73.861779,POINT (-73.861779 40.748954)
Captain Mario Fajardo Park,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.743495,-73.814815,POINT (-73.814815 40.743495)
"Spuyten Duyvil Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Partially Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/spuyten-duyvil,40.886294,-73.914652,POINT (-73.914652 40.886294)
805 Third Avenue POPS,1,Year Round,Monday to Friday: 8:00 am-7:00 pm,Fully Accessible,Multi-Stall W/M Restrooms,No,,,40.755396,-73.970541,POINT (-73.970541 40.755396)
American Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.72874,-73.957634,POINT (-73.957634 40.72874)
Pierrepont Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.696354,-73.997607,POINT (-73.997607 40.696354)
Fort Washington Park Zone 4,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.868463,-73.93125,POINT (-73.93125 40.868463)
"Flatlands Library, BPL",1,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/flatlands,40.619776,-73.933215,POINT (-73.933215 40.619776)
Captain William Harry Thompson Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.834327,-73.877894,POINT (-73.877894 40.834327)
Russell Sage Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.72396,-73.851646,POINT (-73.851646 40.72396)
Evergreen Park,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.697049,-73.896392,POINT (-73.896392 40.697049)
"East Flatbush Library, BPL",1,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/east-flatbush,40.655719,-73.914942,POINT (-73.914942 40.655719)
Josephine Caminiti Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.743795,-73.861554,POINT (-73.861554 40.743795)
Dongan Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.582812,-74.089834,POINT (-74.089834 40.582812)
Gen. Douglas MacArthur Park,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.58593,-74.100791,POINT (-74.100791 40.58593)
Bay Terrace Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.782441,-73.777276,POINT (-73.777276 40.782441)
Scylla Playground,1,Year Round,"Fall, spring summer: 7am - 9pm. Winter: 7am - 5:30pm",Fully Accessible,NA,NA,,,40.783722,-73.926221,POINT (-73.926221 40.783722)
61 West 62nd Street POPS,1,Year Round,Monday to Friday: 8:00 am-10:00 pm; Saturday & Sunday: 9:00 am-10:00 pm,Fully Accessible,Single-Stall All Gender Restroom(s),Yes,Located within the David Rubenstein Atrium at Lincoln Center.,,40.771123,-73.982838,POINT (-73.982838 40.771123)
"Glendale Library, QPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",NA,Single-Stall All Gender Restroom(s),Yes,,https://www.queenslibrary.org/about-us/locations/glendale,40.702594,-73.875746,POINT (-73.875746 40.702594)
Vleigh Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.729857,-73.816234,POINT (-73.816234 40.729857)
Angelo Campanaro Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.867904,-73.842368,POINT (-73.842368 40.867904)
Austin J. McDonald Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.629525,-74.115108,POINT (-74.115108 40.629525)
"96th Street Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Partially Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/96th-street,40.785968,-73.951807,POINT (-73.951807 40.785968)
Fairview Park Zone 1,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.531652,-74.232599,POINT (-74.232599 40.531652)
"Peninsula Library, QPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",NA,Single-Stall All Gender Restroom(s),Yes,,https://www.queenslibrary.org/about-us/locations/peninsula,40.585872,-73.816066,POINT (-73.816066 40.585872)
Beach 30th St. Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.592435,-73.76265,POINT (-73.76265 40.592435)
Dry Harbor Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.70232,-73.868145,POINT (-73.868145 40.70232)
"Broad Channel Library, QPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",NA,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/broad-channel,40.60074,-73.820054,POINT (-73.820054 40.60074)
Sgt. William Dougherty Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.723531,-73.936951,POINT (-73.936951 40.723531)
Murray Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,NA,,,40.747259,-73.948932,POINT (-73.948932 40.747259)
"Pacific Library, BPL",1,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Partially Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Yes,,https://www.bklynlibrary.org/locations/pacific,40.683475,-73.978585,POINT (-73.978585 40.683475)
Hudson River Park Pier 25,1,Year Round,7:30am - 11pm,Fully Accessible,NA,NA,,,40.719928,-74.012697,POINT (-74.012697 40.719928)
Playground Of The Stars,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.8356,-73.899721,POINT (-73.899721 40.8356)
Bloomingdale Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.535012,-74.208479,POINT (-74.208479 40.535012)
Evelyn's Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Single-Stall All Gender Restroom(s),NA,,,40.736309,-73.989588,POINT (-73.989588 40.736309)
Springfield Park,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,NA,,,40.660826,-73.762342,POINT (-73.762342 40.660826)
136 St Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.78496,-73.832844,POINT (-73.832844 40.78496)
P.O. Serrano Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.823482,-73.850522,POINT (-73.850522 40.823482)
Brower Park,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.673837,-73.943836,POINT (-73.943836 40.673837)
Alexander Hamilton Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.82296,-73.951098,POINT (-73.951098 40.82296)
Herman Dolgon Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.598167,-73.939561,POINT (-73.939561 40.598167)
Marble Hill Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.877693,-73.907905,POINT (-73.907905 40.877693)
Nostrand Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.638401,-73.947472,POINT (-73.947472 40.638401)
South Shore Restaurant,1,Year Round,Concession Operating Hours,NA,NA,NA,,,40.551624,-74.204853,POINT (-74.204853 40.551624)
Brady Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.851432,-73.868622,POINT (-73.868622 40.851432)
"Canarsie Library, BPL",1,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Partially Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.bklynlibrary.org/locations/canarsie,40.642217,-73.899526,POINT (-73.899526 40.642217)
Jackie Robinson Park Playground,1,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,NA,,,40.680231,-73.927297,POINT (-73.927297 40.680231)
Arrochar Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.597842,-74.071231,POINT (-74.071231 40.597842)
Fordham Plaza APT,1,Year Round,8am-8pm,Fully Accessible,Single-Stall All Gender Restroom(s),No,This unit costs $.25 to use.,https://portal.311.nyc.gov/article/?kanumber=KA-02226,40.860834,-73.891159,POINT (-73.891159 40.860834)
Francis Lewis Park,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.796267,-73.825668,POINT (-73.825668 40.796267)
Classic Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.783731,-73.986426,POINT (-73.986426 40.783731)
"Cortelyou Library, BPL",1,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),NA,,https://www.bklynlibrary.org/locations/cortelyou,40.640812,-73.965966,POINT (-73.965966 40.640812)
The Painter's Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.720419,-73.859666,POINT (-73.859666 40.720419)
Moore Playground,1,Year Round,"8am-4pm, Open later seasonally",NA,NA,NA,,,40.809697,-73.939156,POINT (-73.939156 40.809697)
550 Madison Avenue POPS,1,Year Round,Everyday 7:00 am-11:00 pm,Fully Accessible,Multi-Stall W/M Restrooms,Yes,Restroom next to Black Box Coffee.,,40.76147,-73.973505,POINT (-73.973505 40.76147)
Torsney Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.747265,-73.922042,POINT (-73.922042 40.747265)
Penn Station LIRR Restroom,1,Year Round,"Bathrooms are open from 7 a.m.-7 p.m., with a one-hour closure for cleaning from 12 noon-1 p.m.",NA,NA,NA,MTA station with bathrooms located outside of fare gates and open to the wider public,https://new.mta.info/agency/new-york-city-transit/bathrooms,40.750588,-73.993581,POINT (-73.993581 40.750588)
Westbourne Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.608307,-73.764591,POINT (-73.764591 40.608307)
"Elmhurst Library, QPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",NA,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""","Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/elmhurst,40.738563,-73.876823,POINT (-73.876823 40.738563)
Mill Pond Indoor Tennis,1,Year Round,Park Hours,NA,NA,NA,,,40.824175,-73.931564,POINT (-73.931564 40.824175)
Orchard Beach Snack Bars & Mobile Units,1,Year Round,"8am-4pm, Open later seasonally",NA,NA,NA,,,40.865136,-73.794799,POINT (-73.794799 40.865136)
Joseph Austin Playground,1,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,NA,,,40.715694,-73.801151,POINT (-73.801151 40.715694)
Brooklyn Bridge Park Pier 1,1,Year Round,6am-1am,Fully Accessible,NA,NA,,,40.70267,-73.99522,POINT (-73.99522 40.70267)
"Baychester Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),No,,https://www.nypl.org/locations/baychester,40.870762,-73.829317,POINT (-73.829317 40.870762)
"Homecrest Library, BPL",1,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Yes,,https://www.bklynlibrary.org/homecrest,40.595245,-73.960601,POINT (-73.960601 40.595245)
"New Utrecht Library, BPL",1,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,Yes,,https://www.bklynlibrary.org/locations/new-utrecht,40.608018,-74.003378,POINT (-74.003378 40.608018)
Wright Brothers Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.831692,-73.9416,POINT (-73.9416 40.831692)
"Sunnyside Library, QPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",NA,Single-Stall All Gender Restroom(s),Yes,,https://www.queenslibrary.org/about-us/locations/sunnyside,40.740855,-73.921669,POINT (-73.921669 40.740855)
Gerard P. Dugan Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.561561,-74.111472,POINT (-74.111472 40.561561)
Sherman Creek,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,NA,,,40.857796,-73.922035,POINT (-73.922035 40.857796)
"Library for the Performing Arts, Dorothy and Lewis B. Cullman Center Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 10:30 am - 8:00 pm 
Tuesday: 10:30 pm - 6:00 pm 
Wednesday: 10:30 pm - 6:00 pm 
Thursday: 10:30 am - 8:00 pm
Friday: 10:30 am - 6:00 pm 
Saturday: 10:30 am - 6:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in women's restroom only""",,https://www.nypl.org/locations/lpa,40.773515,-73.984548,POINT (-73.984548 40.773515)
Saratoga Park,1,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,NA,,,40.68506,-73.919017,POINT (-73.919017 40.68506)
Bloomingdale Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.799368,-73.966214,POINT (-73.966214 40.799368)
Martin Luther King Jr. Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.667421,-73.890205,POINT (-73.890205 40.667421)
Slope Park Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.661302,-73.989333,POINT (-73.989333 40.661302)
"Van Cortlandt Mansion, Tennis Courts, Memorial Grove",1,Year Round,"8am-4pm, Open later seasonally",NA,NA,NA,,,40.891109,-73.893936,POINT (-73.893936 40.891109)
"Woodstock Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 10:00 pm - 6:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""",,https://www.nypl.org/locations/woodstock,40.820627,-73.904649,POINT (-73.904649 40.820627)
Lookout Hill,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.656907,-73.970375,POINT (-73.970375 40.656907)
El Shabazz Playground,1,Year Round,"8am-4pm, Open later seasonally",Partially Accessible,Multi-Stall W/M Restrooms,NA,,,40.682689,-73.930705,POINT (-73.930705 40.682689)
Watson Gleason Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.829028,-73.869112,POINT (-73.869112 40.829028)
Cadman Plaza Park,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.698452,-73.990628,POINT (-73.990628 40.698452)
Eleanor Roosevelt Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.692747,-73.935804,POINT (-73.935804 40.692747)
Crotona Park Tennis House & Courts,1,Year Round,"8am-4pm, Open later seasonally",NA,NA,NA,,,40.840041,-73.895348,POINT (-73.895348 40.840041)
Baisley Pond Park Zone 3,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.67779,-73.784129,POINT (-73.784129 40.67779)
Seba Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.589633,-73.920992,POINT (-73.920992 40.589633)
Grand Central Parkway Gas,1,Year Round,Concession Operating Hours,NA,NA,NA,,,40.765016,-73.861689,POINT (-73.861689 40.765016)
Herald Square,1,Year Round,8am-9pm,Fully Accessible,Multi-Stall All Gender Restrooms,NA,,,40.750455,-73.987505,POINT (-73.987505 40.750455)
North Rochdale Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.680069,-73.775129,POINT (-73.775129 40.680069)
"Starvos Niarchos Foundation Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 8:00 am - 9:00 pm 
Tuesday: 8:00 am - 9:00 pm 
Wednesday: 8:00 am - 9:00 pm 
Thursday: 8:00 am - 9:00 pm  
Friday: 8:00 am - 9:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""",,https://www.nypl.org/locations/snfl,40.7519,-73.9817,POINT (-73.9817 40.7519)
Redfern Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.611049,-73.749098,POINT (-73.749098 40.611049)
"Kensington Library, BPL",1,Year Round,"Monday	10 am - 6 pm
Tuesday	1 pm - 8 pm
Wednesday	10 am - 6 pm
Thursday	10 am - 8 pm
Friday	10 am - 6 pm
Saturday	10 am - 5 pm
Sunday	CLOSED",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,The restrooms have a free feminine hygiene product dispenser.,https://www.bklynlibrary.org/locations/kensington,40.6313,-73.975437,POINT (-73.975437 40.6313)
"Howard Beach Library, QPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",NA,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/Howard-Beach/,40.663819,-73.841804,POINT (-73.841804 40.663819)
Cypress Hills Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.670751,-73.871083,POINT (-73.871083 40.670751)
McKinley Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.724269,-73.985628,POINT (-73.985628 40.724269)
Bushwick Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.701712,-73.939483,POINT (-73.939483 40.701712)
Cherry Tree Park,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,NA,,,40.787168,-73.947233,POINT (-73.947233 40.787168)
Hunters Point South,1,Year Round,,Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.738411,-73.960924,POINT (-73.960924 40.738411)
Drew Playground,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.832982,-73.903326,POINT (-73.903326 40.832982)
Van Cortlandt Pool,1,Year Round,"8am-4pm, Open later seasonally",NA,NA,NA,,,40.890661,-73.897424,POINT (-73.897424 40.890661)
"St. George Library Center, NYPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm  
Thursday: 10:00 am - 7:00 pm 
Friday: 10:00 am - 5:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,"""Yes, in single-stall all gender restroom only""",,https://www.nypl.org/locations/st-george-library-center,40.641808,-74.07668,POINT (-74.07668 40.641808)
Crotona Park Indoor Tennis,1,Year Round,Concession Operating Hours,NA,NA,NA,,,40.839595,-73.895042,POINT (-73.895042 40.839595)
Fermi Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.700313,-73.928534,POINT (-73.928534 40.700313)
"Edenwald Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 7:00 pm 
Tuesday: 10:00 am - 7:00 pm
Wednesday: 10:00 am - 7:00 pm
Thursday: 10:00 am - 7:00 pm
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),No,,https://www.nypl.org/locations/edenwald,40.888903,-73.840839,POINT (-73.840839 40.888903)
"St. Agnes Library, NYPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 10:00 pm - 7:00 pm 
Wednesday: 10:00 am - 7:00 pm 
Thursday: 10:00 pm - 7:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 6:00 pm",Fully Accessible,Single-Stall All Gender Restroom(s),Yes,,https://www.nypl.org/locations/st-agnes,40.784843,-73.977454,POINT (-73.977454 40.784843)
Northern Playground,1,Year Round,"8am-4pm, Open later seasonally",Not Accessible,Multi-Stall W/M Restrooms,NA,,,40.756285,-73.874495,POINT (-73.874495 40.756285)
Castle Clinton National Monument,1,Year Round,9am - 4:30pm,NA,NA,NA,,,40.703407,-74.016429,POINT (-74.016429 40.703407)
Louis Pasteur Park,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Both Single-Stall All Gender and Multi-Stall W/M,NA,,,40.761764,-73.735398,POINT (-73.735398 40.761764)
"Corona Library, QPL",1,Year Round,"Sunday: Closed 
Monday: 10:00 am - 6:00 pm 
Tuesday: 1:00 pm - 6:00 pm 
Wednesday: 10:00 am - 6:00 pm 
Thursday: 12:00 pm - 8:00 pm 
Friday: 10:00 am - 6:00 pm 
Saturday: 10:00 am - 5:00 pm",NA,Single-Stall All Gender Restroom(s),Yes,"Yes, a key is needed to enter",https://www.queenslibrary.org/about-us/locations/corona,40.750902,-73.861978,POINT (-73.861978 40.750902)
Soundview Park,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.818019,-73.870393,POINT (-73.870393 40.818019)
Bill Rainey Park,1,Year Round,"8am-4pm, Open later seasonally",Fully Accessible,Multi-Stall W/M Restrooms,NA,,,40.818759,-73.898325,POINT (-73.898325 40.818759)
